dataset,generator,epsilon,label,mia_auc,mia_privacy_score,dcr_mean,dcr_median,nndr_mean,nndr_median,dist_privacy_score
diabetes_130us,ctgan,nodp,ctgan_nodp,0.636841,0.726318,7.750014127279464,7.416198487095663,1.0060314956091063,0.9901475429628096,0.9948584032537056
diabetes_130us,tvae,nodp,tvae_nodp,0.6647014999999998,0.6705970000000003,6.621810098017848,6.324555320336759,1.02836135358563,1.014185105657077,0.9922419374274378
diabetes_130us,copulagan,nodp,copulagan_nodp,0.615658,0.7686839999999999,7.348936701707344,7.0,0.9974296460458354,0.9862036104937884,0.992780167251343
home_credit,ctgan,nodp,ctgan_nodp,0.6898935,0.6202129999999999,918.6919688801232,786.6953674447254,1.0777780342744845,1.009238233476081,0.9953808832619596
home_credit,tvae,nodp,tvae_nodp,0.6895395,0.6209210000000001,791.6579421775298,701.4290174500927,1.0747351408980128,0.995813018508679,0.9979065092543395
home_credit,copulagan,nodp,copulagan_nodp,0.6957814999999999,0.6084370000000001,955.7108422273596,822.3131951615089,1.0829245483818457,1.0097257947909868,0.9951371026045066
acs_income,ctgan,nodp,ctgan_nodp,0.6373555000000001,0.7252889999999999,26.334375003200357,39.408120990476064,0.9723322824058086,0.9213856174415536,0.9606928087189484
acs_income,tvae,nodp,tvae_nodp,0.6896260000000001,0.6207479999999999,6.586313921544913,6.4031242374328485,4000001.051089811,0.991629307132396,0.9951250965017642
acs_income,copulagan,nodp,copulagan_nodp,0.604143,0.791714,18.66930551752892,10.099504938362076,1.0028729101356373,0.9255801180555384,0.9627900551284064
diabetes_130us,ctgan,1,ctgan_eps1,0.6021264999999999,0.7957470000000002,7.5445053055949245,7.14142842854285,1.0005714419252123,0.9872053652786781,0.9933381781902765
diabetes_130us,ctgan,5,ctgan_eps5,0.6162565,0.767487,7.441619257074447,7.0710678118654755,1.0045537076417048,0.9904909721547273,0.9949523185766893
diabetes_130us,ctgan,10,ctgan_eps10,0.6026150000000001,0.7947699999999998,7.598554483635304,7.280109889280518,1.0069823788962908,0.9903379376465538,0.9949183811396367
diabetes_130us,tvae,1,tvae_eps1,0.6988744999999998,0.6022510000000003,5.6440656520083445,5.5677643628300215,1.0628472997726748,1.0513149660586392,0.9725732904689243
diabetes_130us,tvae,5,tvae_eps5,0.6898995,0.620201,6.727393390339875,6.708203932499369,1.094321792033924,1.0924964013917395,0.9531529739536837
diabetes_130us,tvae,10,tvae_eps10,0.6981550000000001,0.6036899999999998,6.759698023791213,6.708203932499369,1.0997715110774497,1.0860419786773463,0.9563992210181289
diabetes_130us,copulagan,1,copulagan_eps1,0.6795590000000001,0.6408819999999997,46.1515001006322,47.132790834681714,1.0721509423773306,1.0624414311355412,0.9687792844322294
diabetes_130us,copulagan,5,copulagan_eps5,0.6694534999999999,0.6610930000000002,46.57732663739497,47.66550115125194,1.0695220678921586,1.0585257029575783,0.9707371485212108
diabetes_130us,copulagan,10,copulagan_eps10,0.6855575,0.6288849999999999,47.384990153381544,47.83304297240559,1.074014237019913,1.060201569657941,0.9698992151710295
acs_income,ctgan,1,ctgan_eps1,0.6105689999999999,0.7788620000000002,25.301921888097496,27.03700534457498,0.9767414369816583,0.9232144375185491,0.9616072187541402
acs_income,ctgan,5,ctgan_eps5,0.616746,0.766508,25.98155452336343,33.35421408324091,0.9815041223252045,0.9229761052183036,0.9614880526065497
acs_income,ctgan,10,ctgan_eps10,0.6210844999999999,0.7578310000000001,27.41206511793626,41.25530090926463,0.9806927810602878,0.9250399434542813,0.9625199717265183
acs_income,tvae,1,tvae_eps1,0.8930385000000001,0.21392299999999986,8.99504360609144,8.426149773176359,0.9526737684007681,0.8205286873225547,0.9102023321662633
acs_income,tvae,5,tvae_eps5,0.827285,0.3454299999999999,13.88235707001494,13.711309200802088,0.9973683590539396,0.9719689388437566,0.9859840017525014
acs_income,tvae,10,tvae_eps10,0.8032984999999999,0.39340300000000017,13.590923935123026,13.674794331177344,0.9582317882444137,0.9629041831908809,0.9814514656928697
acs_income,copulagan,1,copulagan_eps1,0.6923794999999998,0.6152410000000004,45.76024972317425,45.552167895721496,0.9601505524474305,0.9075572377008773,0.9537786188504387
acs_income,copulagan,5,copulagan_eps5,0.6803409999999999,0.6393180000000003,47.33865437573745,48.471638723972745,0.9585385883784867,0.9103156705252096,0.9551578352626048
acs_income,copulagan,10,copulagan_eps10,0.7049110000000001,0.5901779999999999,44.415964522116745,45.53569994913582,0.9564036461322456,0.9030437813439536,0.9515218906719768
