dataset,generator,epsilon,label,utility_ratio,tstr_auc,trtr_auc,tstr_f1,tstr_accuracy,stat_overall,wasserstein_mean,corr_diff,cat_similarity,mia_auc,mia_privacy_score,dcr_mean,dcr_median,nndr_mean,nndr_median,dist_privacy_score
acs_income,ctgan,nodp,ctgan_nodp,0.9746679552219856,0.8726897167707036,0.8953713027037441,0.7822226821247026,0.7804666138553139,0.9290418240007252,0.119492842510166,0.0122861232848555,0.906000849666522,0.6373555000000001,0.7252889999999999,26.334375003200357,39.408120990476064,0.9723322824058086,0.9213856174415536,0.9606928087189484
acs_income,ctgan,10,ctgan_eps10,0.979872196706732,0.877349445248486,0.8953713027037441,0.7953233555898417,0.7958500498300667,0.9749656554282752,0.0249131305402478,0.0250319796667727,0.9736252012368078,0.6210844999999999,0.7578310000000001,27.41206511793626,41.25530090926463,0.9806927810602878,0.9250399434542812,0.9625199717265184
acs_income,ctgan,5,ctgan_eps5,0.9793489780203336,0.8768809702516467,0.8953713027037441,0.7962008456750396,0.7969488666854062,0.9785264043290468,0.026183464038304,0.0138760288438368,0.9747807157641888,0.616746,0.766508,25.98155452336343,33.35421408324091,0.9815041223252045,0.9229761052183036,0.9614880526065496
acs_income,ctgan,1,ctgan_eps1,0.9796286729029616,0.8771314010230646,0.8953713027037441,0.7949620009599989,0.7955434032657859,0.9797370957354352,0.0234632465866946,0.0152117935485485,0.977120492934352,0.6105689999999999,0.7788620000000002,25.301921888097496,27.03700534457498,0.9767414369816584,0.9232144375185491,0.9616072187541402
acs_income,tvae,nodp,tvae_nodp,0.9610083832993548,0.8605751153863624,0.8954917879403064,0.779451883265653,0.783328648455268,0.9446283096280258,0.0422181957657967,0.036520082434521,0.9096263064421332,0.6896260000000001,0.6207479999999999,6.586313921544913,6.4031242374328485,4000001.051089811,0.991629307132396,0.9951250965017642
acs_income,tvae,10,tvae_eps10,0.5139051680276424,0.4508045074365635,0.8772134150095086,0.5086809545223034,0.5333861446860706,0.6501244506826905,0.7387142944835604,0.1523154529228405,0.5074178123323025,0.8032984999999999,0.3934030000000001,13.590923935123026,13.674794331177344,0.9582317882444136,0.9629041831908808,0.9814514656928696
acs_income,tvae,5,tvae_eps5,0.471973286657501,0.4183226811795665,0.8863270295276957,0.466906489915051,0.4651317302532389,0.6472357080969067,0.7344838859433374,0.1645055618826379,0.5064331893798073,0.827285,0.3454299999999999,13.88235707001494,13.711309200802088,0.9973683590539396,0.9719689388437566,0.9859840017525014
acs_income,tvae,1,tvae_eps1,0.6746552104992225,0.6023787976722874,0.8928691104698459,0.5669739664208145,0.5635141696266578,0.6537374963863442,0.6398526124969073,0.1954930953718542,0.5149266603633762,0.8930385000000001,0.2139229999999998,8.99504360609144,8.426149773176359,0.952673768400768,0.8205286873225547,0.9102023321662632
diabetes_130us,ctgan,nodp,ctgan_nodp,0.8437067473697786,0.5763824294127168,0.6831549364865998,0.3838236873618814,0.5385182273754544,0.907460279427764,0.1976993865604771,0.0497218287612202,0.9348134591133168,0.636841,0.726318,7.750014127279464,7.416198487095663,1.0060314956091063,0.9901475429628096,0.9948584032537056
diabetes_130us,ctgan,10,ctgan_eps10,0.8785659638281664,0.6001966752183193,0.6831549364865998,0.4772714224574252,0.5508499557826472,0.9704180185855033,0.0289177276810159,0.0558246734227693,0.9922321033754236,0.6026150000000001,0.7947699999999998,7.598554483635304,7.280109889280518,1.0069823788962908,0.9903379376465538,0.9949183811396368
diabetes_130us,ctgan,5,ctgan_eps5,0.8847276784599338,0.6044060809862329,0.6831549364865998,0.4962209752865737,0.5520782155841604,0.9688430615989162,0.0375602052083185,0.051553264885462,0.9917555151574706,0.6162565,0.767487,7.441619257074447,7.0710678118654755,1.0045537076417048,0.9904909721547271,0.9949523185766892
diabetes_130us,ctgan,1,ctgan_eps1,0.905905597444164,0.6188738808848231,0.6831549364865998,0.4945246826787557,0.5614621204677214,0.975444203651298,0.0230430301371227,0.0445544793323493,0.9915106700076975,0.6021264999999999,0.7957470000000002,7.5445053055949245,7.14142842854285,1.0005714419252123,0.987205365278678,0.9933381781902764
diabetes_130us,tvae,nodp,tvae_nodp,0.9035204270626632,0.6184528111514057,0.684492339771432,0.5179620744554835,0.5518816940159182,0.8922716361890863,0.2256903774765017,0.0518158747653646,0.9102114348417104,0.6647014999999998,0.6705970000000003,6.621810098017848,6.324555320336759,1.02836135358563,1.014185105657077,0.9922419374274378
diabetes_130us,tvae,10,tvae_eps10,0.7409947479495428,0.515144619542888,0.6952068431906973,0.3996747325322805,0.5372899675739412,,0.5684087367119687,,0.8250319363238835,0.6981550000000001,0.6036899999999998,6.759698023791213,6.708203932499369,1.0997715110774495,1.0860419786773463,0.9563992210181288
diabetes_130us,tvae,5,tvae_eps5,0.7525100476786941,0.5223083011374072,0.6940881424089925,0.4985154077682975,0.5327208411123121,,0.5675987528446589,,0.826760592214088,0.6898995,0.620201,6.727393390339875,6.708203932499369,1.094321792033924,1.0924964013917395,0.9531529739536836
diabetes_130us,tvae,1,tvae_eps1,0.7328708402130566,0.4998220921101848,0.6820057023484234,0.4352877140518153,0.5072712980249582,0.8026416509170377,0.5440460273192586,0.0932381416985346,0.845562079300349,0.6988744999999998,0.6022510000000003,5.6440656520083445,5.5677643628300215,1.0628472997726748,1.0513149660586392,0.9725732904689244
