dataset,generator,epsilon,label,stat_overall,wasserstein_mean,corr_diff,cat_similarity,tstr_auc,trtr_auc,tstr_f1,tstr_accuracy,utility_ratio,mia_auc,mia_privacy_score,dcr_mean,dcr_median,nndr_mean,nndr_median,dist_privacy_score
diabetes_130us,ctgan,nodp,ctgan_nodp,0.9074602794277641,0.19769938656047714,0.049721828761220214,0.9348134591133167,0.5763824294127168,0.6831549364865998,0.3838236873618814,0.5385182273754544,0.8437067473697786,0.636841,0.726318,7.7500141272794645,7.416198487095663,1.0060314956091063,0.9901475429628095,0.9948584032537056
diabetes_130us,tvae,nodp,tvae_nodp,0.8922716361890863,0.22569037747650175,0.051815874765364686,0.9102114348417103,0.6184528111514057,0.684492339771432,0.5179620744554835,0.5518816940159182,0.9035204270626631,0.6647014999999998,0.6705970000000003,6.621810098017848,6.324555320336759,1.02836135358563,1.014185105657077,0.9922419374274378
diabetes_130us,copulagan,nodp,copulagan_nodp,0.8824443569259227,0.3183078646395079,0.05198833521823436,0.9382040321656102,0.5504285765329765,0.6831549364865998,0.3856428331618555,0.5353247518915201,0.8057155809541212,0.615658,0.7686839999999999,7.348936701707344,7.0,0.9974296460458354,0.9862036104937884,0.992780167251343
home_credit,ctgan,nodp,ctgan_nodp,,0.04996739843401769,,0.9351335457925488,0.6990147025499557,0.7576474726673683,0.8812246381473928,0.919060858819895,0.9226120692899688,0.6898935,0.6202129999999999,918.6919688801232,786.6953674447254,1.0777780342744843,1.009238233476081,0.9953808832619595
home_credit,tvae,nodp,tvae_nodp,,0.1666770716137936,,0.8157163588175994,0.619197456588564,0.7574338242400543,0.8806061177888584,0.9192722306228964,0.8174938017982163,0.6895395,0.6209210000000001,791.6579421775298,701.4290174500927,1.0747351408980128,0.995813018508679,0.9979065092543395
home_credit,copulagan,nodp,copulagan_nodp,,9.204457700320997,,0.94742549022796,0.6978029926632416,0.7576474726673683,0.8829969483804225,0.9161504316862592,0.9210127636360501,0.6957814999999999,0.6084370000000001,955.7108422273595,822.3131951615089,1.0829245483818455,1.0097257947909868,0.9951371026045066
acs_income,ctgan,nodp,ctgan_nodp,0.9290418240007251,0.11949284251016605,0.012286123284855503,0.906000849666522,0.8726897167707036,0.8953713027037441,0.7822226821247026,0.7804666138553139,0.9746679552219855,0.6373555000000001,0.7252889999999999,26.334375003200357,39.408120990476064,0.9723322824058086,0.9213856174415536,0.9606928087189484
acs_income,tvae,nodp,tvae_nodp,0.9446283096280258,0.04221819576579671,0.03652008243452102,0.9096263064421333,0.8605751153863624,0.8954917879403064,0.779451883265653,0.783328648455268,0.9610083832993548,0.6896260000000001,0.6207479999999999,6.586313921544913,6.4031242374328485,4000001.0510898116,0.991629307132396,0.9951250965017642
acs_income,copulagan,nodp,copulagan_nodp,0.9321410222915834,0.09287237199306404,0.019184448447093813,0.9002264712646615,0.8711309572363163,0.8953713027037441,0.7917435588975874,0.7919658600158435,0.9729270466964605,0.604143,0.791714,18.669305517528922,10.099504938362077,1.0028729101356373,0.9255801180555383,0.9627900551284064
