dataset,generator,epsilon,label,stat_overall,wasserstein_mean,corr_diff,cat_similarity,tstr_auc,trtr_auc,tstr_f1,tstr_accuracy,utility_ratio
diabetes_130us,ctgan,nodp,ctgan_nodp,0.907460279427764,0.1976993865604771,0.0497218287612202,0.9348134591133168,0.5763824294127168,0.6831549364865998,0.3838236873618814,0.5385182273754544,0.8437067473697786
diabetes_130us,tvae,nodp,tvae_nodp,0.8922716361890863,0.2256903774765017,0.0518158747653646,0.9102114348417104,0.6184528111514057,0.684492339771432,0.5179620744554835,0.5518816940159182,0.9035204270626632
diabetes_130us,copulagan,nodp,copulagan_nodp,0.8824443569259227,0.3183078646395079,0.0519883352182343,0.9382040321656102,0.5504285765329765,0.6831549364865998,0.3856428331618555,0.5353247518915201,0.8057155809541212
home_credit,ctgan,nodp,ctgan_nodp,,0.0499673984340176,,0.9351335457925488,0.6990147025499557,0.7576474726673683,0.8812246381473928,0.919060858819895,0.9226120692899688
home_credit,tvae,nodp,tvae_nodp,,0.1666770716137936,,0.8157163588175994,0.619197456588564,0.7574338242400543,0.8806061177888584,0.9192722306228964,0.8174938017982163
home_credit,copulagan,nodp,copulagan_nodp,,9.204457700320996,,0.94742549022796,0.6978029926632416,0.7576474726673683,0.8829969483804225,0.9161504316862592,0.92101276363605
acs_income,ctgan,nodp,ctgan_nodp,0.9290418240007252,0.119492842510166,0.0122861232848555,0.906000849666522,0.8726897167707036,0.8953713027037441,0.7822226821247026,0.7804666138553139,0.9746679552219856
acs_income,tvae,nodp,tvae_nodp,0.9446283096280258,0.0422181957657967,0.036520082434521,0.9096263064421332,0.8605751153863624,0.8954917879403064,0.779451883265653,0.783328648455268,0.9610083832993548
acs_income,copulagan,nodp,copulagan_nodp,0.9321410222915834,0.092872371993064,0.0191844484470938,0.9002264712646615,0.8711309572363163,0.8953713027037441,0.7917435588975874,0.7919658600158435,0.9729270466964604
diabetes_130us,ctgan,1,ctgan_eps1,0.9754442036512981,0.023043030137122732,0.0445544793323493,0.9915106700076975,0.6188738808848231,0.6831549364865998,0.4945246826787557,0.5614621204677214,0.9059055974441641
diabetes_130us,ctgan,5,ctgan_eps5,0.9688430615989162,0.03756020520831856,0.05155326488546202,0.9917555151574706,0.6044060809862329,0.6831549364865998,0.4962209752865737,0.5520782155841604,0.8847276784599338
diabetes_130us,ctgan,10,ctgan_eps10,0.9704180185855033,0.028917727681015973,0.055824673422769346,0.9922321033754237,0.6001966752183193,0.6831549364865998,0.47727142245742527,0.5508499557826472,0.8785659638281664
diabetes_130us,tvae,1,tvae_eps1,0.8026416509170377,0.5440460273192586,0.09323814169853462,0.845562079300349,0.49982209211018486,0.6820057023484234,0.4352877140518153,0.5072712980249582,0.7328708402130566
diabetes_130us,tvae,5,tvae_eps5,,0.5675987528446589,,0.826760592214088,0.5223083011374072,0.6940881424089925,0.49851540776829756,0.5327208411123121,0.7525100476786941
diabetes_130us,tvae,10,tvae_eps10,,0.5684087367119687,,0.8250319363238835,0.515144619542888,0.6952068431906973,0.39967473253228053,0.5372899675739412,0.7409947479495428
diabetes_130us,copulagan,1,copulagan_eps1,0.7471380870119027,2.1317713087020342,0.07201775496918386,0.9892857727771499,0.5545575685645583,0.6831549364865998,0.4710328387680201,0.49891913137466837,0.8117595862171393
diabetes_130us,copulagan,5,copulagan_eps5,0.7471532415545467,2.154667608081933,0.06835343332434371,0.9884492867554333,0.5712910895985971,0.6831549364865998,0.46699292131229597,0.5353738822835806,0.8362540605161873
diabetes_130us,copulagan,10,copulagan_eps10,0.742304426156735,2.291710509900093,0.07282116370399894,0.990998051065363,0.5775762890408446,0.6831549364865998,0.4507777036957442,0.541269529330844,0.8454543152557222
acs_income,ctgan,1,ctgan_eps1,0.9797370957354353,0.023463246586694617,0.015211793548548578,0.9771204929343521,0.8771314010230646,0.8953713027037441,0.7949620009599989,0.7955434032657859,0.9796286729029615
acs_income,ctgan,5,ctgan_eps5,0.9785264043290467,0.026183464038304,0.013876028843836886,0.9747807157641888,0.8768809702516467,0.8953713027037441,0.7962008456750396,0.7969488666854062,0.9793489780203337
acs_income,ctgan,10,ctgan_eps10,0.9749656554282753,0.024913130540247862,0.02503197966677275,0.9736252012368078,0.877349445248486,0.8953713027037441,0.7953233555898417,0.7958500498300667,0.979872196706732
acs_income,tvae,1,tvae_eps1,0.6537374963863442,0.6398526124969073,0.1954930953718542,0.5149266603633762,0.6023787976722874,0.8928691104698459,0.5669739664208145,0.5635141696266578,0.6746552104992225
acs_income,tvae,5,tvae_eps5,0.6472357080969067,0.7344838859433374,0.16450556188263799,0.5064331893798073,0.4183226811795665,0.8863270295276957,0.46690648991505107,0.46513173025323895,0.47197328665750105
acs_income,tvae,10,tvae_eps10,0.6501244506826905,0.7387142944835604,0.15231545292284057,0.5074178123323025,0.4508045074365635,0.8772134150095086,0.5086809545223034,0.5333861446860706,0.5139051680276424
acs_income,copulagan,1,copulagan_eps1,0.702410544754222,2.9013107693220714,0.14619401833355716,0.9784548846242302,0.8258682383037375,0.8953713027037441,0.5891094466201873,0.6115554646973143,0.9223751485108704
acs_income,copulagan,5,copulagan_eps5,0.7072165132028457,2.8981535388470583,0.12877278317900653,0.9791999399483812,0.8285870702892231,0.8953713027037441,0.7363020777604646,0.7343418598114123,0.9254116898622355
acs_income,copulagan,10,copulagan_eps10,0.7013324409896752,2.897431552732373,0.14746766141464226,0.9759338346152864,0.8311757759526351,0.8953713027037441,0.4896486882939923,0.5459075460608693,0.9283028989679942
